# Entries the transcriber left as "uncertain", decided here: page|entry <TAB> yes|no <TAB> why.
# "yes" means the work is about Japan, or substantially so, whatever the short title says.
5|9	no	not about Japan on the evidence of the title and the author's known subject (Electricity as a Motive Power. A Lecture at Sheffield)
6|2	no	not about Japan on the evidence of the title and the author's known subject (Old and New Style Fixed Dates. Calenders)
6|3	no	not about Japan on the evidence of the title and the author's known subject (Waifs and Strays from the Far East.—Essays)
6|4	no	periodical or a general Asian/oriental work (cross-reference only)
7|2	no	not about Japan on the evidence of the title and the author's known subject (Through Routes, Overland Guide and Handbook to India, Egypt )
7|11	no	not about Japan on the evidence of the title and the author's known subject (Outlines of the Philosophy of Universal History)
8|4	no	not about Japan on the evidence of the title and the author's known subject (Cosmos)
8|5	no	not about Japan on the evidence of the title and the author's known subject (Revue de l'Extrême Orient)
8|13	no	not about Japan on the evidence of the title and the author's known subject (On the Remains of Later Prehistoric man)
8|15	no	not about Japan on the evidence of the title and the author's known subject (Rapport Annuel fait à la Société Asiatique, 1884)
9|5	no	periodical or a general Asian/oriental work (cross-reference only)
9|11	no	not about Japan on the evidence of the title and the author's known subject (Bibliothèque Orientale, Continuée par Visdelou et Galand)
10|10	yes	Franchet & Savatier's Enumeratio Plantarum is the flora of Japan (Enumeratio plantarum in Japonia sponte crescentium); the catalogue prints only the short title
11|8	no	not about Japan on the evidence of the title and the author's known subject (An Account of the Progress in Geography in the Year 1885)
11|11	no	not about Japan on the evidence of the title and the author's known subject (Russia and Asia)
12|2	no	not about Japan on the evidence of the title and the author's known subject (A Manual of Buddhism)
12|3	no	not about Japan on the evidence of the title and the author's known subject (Science Gossip (1867—1869))
13|9	no	not about Japan on the evidence of the title and the author's known subject (Voyages of the "Morrison" and "Himmeleh.")
14|9	no	not about Japan on the evidence of the title and the author's known subject (Ueber Reinit, K. v. Fritsch—Ein neues wolframsaures Eisenoxy)
15|4	no	periodical or a general Asian/oriental work (cross-reference only)
15|5	no	not about Japan on the evidence of the title and the author's known subject (The Statesman's Year Book for 1872)
16|2	no	not about Japan on the evidence of the title and the author's known subject (Systematic Position of the Brachiopoda)
16|3	no	not about Japan on the evidence of the title and the author's known subject (Tarsus and Carpus of Birds)
16|4	no	not about Japan on the evidence of the title and the author's known subject (Address by Vice-President E. S. M. Before the Amer. Assoc. f)
16|5	no	not about Japan on the evidence of the title and the author's known subject (On the Oviducts and Embryology of Terebratulina)
16|6	no	not about Japan on the evidence of the title and the author's known subject (Embryology of Terebratulina)
16|7	no	not about Japan on the evidence of the title and the author's known subject (On the Early Stages of Terebratulina Septentrionalis)
17|9	no	not about Japan on the evidence of the title and the author's known subject (Inaugural Address at Concordia Hall, Canton)
18|3	no	not about Japan on the evidence of the title and the author's known subject (Le Livre de Marco Polo)
18|9	no	not about Japan on the evidence of the title and the author's known subject (Old Time Superstitions)
19|5	no	not about Japan on the evidence of the title and the author's known subject (Reis und Mais, eine Pflanzen Geographische und Kultergeschic)
19|6	yes	Rein on the currents of the northern Pacific and their effect on the climate and vegetation of the neighbouring coasts: the Kuroshio and Japan
19|11	no	not about Japan on the evidence of the title and the author's known subject (Die Erdkunde von Asien)
19|13	no	not about Japan on the evidence of the title and the author's known subject (Revue Orientale et Americaine)
20|5	no	not about Japan on the evidence of the title and the author's known subject (L'Ame Humaine au point de vue de la Science Ethnographique)
20|6	no	not about Japan on the evidence of the title and the author's known subject (On Periodical Change of Terrestrial Magnetism. (Ex. China B.)
20|14	no	not about Japan on the evidence of the title and the author's known subject (Memoirs of the Chief Incidents of his Public Life (for Priva)
22|6	yes	Elgin's letters and journals cover his mission to Japan and the treaty of Yedo, 1858
22|9	no	not about Japan on the evidence of the title and the author's known subject (Handbook of Archaeology)
23|1	no	not about Japan on the evidence of the title and the author's known subject (Oriental and Linguistic Studies. 2nd Series)
23|10	no	not about Japan on the evidence of the title and the author's known subject (The Book of Ser Marco Polo)
24|4	no	not about Japan on the evidence of the title and the author's known subject (American Antiquarian and Oriental Journal)
24|11	no	not about Japan on the evidence of the title and the author's known subject (American Oriental Society. (Journal of). Vols. 1—12. (Procee)
25|10	no	not about Japan on the evidence of the title and the author's known subject (Asiatic Researches. (Reprint))
26|3	no	not about Japan on the evidence of the title and the author's known subject (Bolletino Italiano degli Studii Orientali)
26|14	no	not about Japan on the evidence of the title and the author's known subject (Congrès Provincial des Orientalistes; Session de Lyon. 1878)
27|5	no	not about Japan on the evidence of the title and the author's known subject (Instructionen für die Fachmannischen Begleiter des. K.K. Mis)
27|16	no	not about Japan on the evidence of the title and the author's known subject (Musée Guimet (Annales des))
28|15	no	not about Japan on the evidence of the title and the author's known subject (Oesterreichische Monatsschrift für den Orient)
29|12	no	not about Japan on the evidence of the title and the author's known subject (Royal Asiatic Society of Great Britain and Ireland (Journal )
30|15	no	not about Japan on the evidence of the title and the author's known subject (Société Asiatique)
31|10	no	not about Japan on the evidence of the title and the author's known subject (Trübner's American, European and Literary Record, New series)
