# Hand verdicts on the Europeana candidates. Key = author|title|year folded to letters and digits
# (language.key); then the Europeana record id. key<TAB>id<TAB>yes|no|edition<TAB>title (to read by)
# Wenckstern (1907) entries, decided 2026-09-22
bulow h von|der russisch japanische konflikt|1904	/2022078/11088_de_bo133_175037	yes	Der russisch-japanische Konflikt / The Russian-Japanese Conf
fischer adolf|wandlungen im kunstleben japans mit vielen voll und text bildern buchschmuck von dem japanischen kunstler eisaku wada|1900	/2048426/item_JOKTWBPSLZDVIAXKX4COHZ4IAMHBGHA7	yes	Wandlungen im Kunstleben Japans: mit vielen Voll- und Text-B
germany konigliches kunstgewerbe museum|ausstellung japanischer kleinkunst sammlung gustav jacoby|1905	/206/item_XRNB6GSAIQWKQIYAGXLKZDCAC5FHTAF6	yes	Ausstellung japanischer Kleinkunst : Sammlung Gustav Jacoby
lobedanz arnold|peter koch in port arthur fur die jugend erzaehlt ubers nach der 2te aufl der danischen originalausgabe von einar lehmann|1907	/1568/item_PJAD55KATAZNHBM7BRHGP76VHV3L2BND	yes	Peter Koch in Port Arthur / Peter Kok i Port Arthur
muller franz|der russisch japanische krieg seine vorgeschichte seine ausbruch und seine folgerungen|1905	/2022078/11088_de_bo133_174995	yes	Der russisch-japanische Krieg / Der russisch-japanische Krie
nippold ottfried|wanderungen durch japan briefe und tagebuchblatter|1893	/1488/item_NHAEJHK2JZ4KOPSJK4TOOGFPFMCWK7EJ	yes	Wanderungen durch Japan
rathgen karl|die entstehung des modernen japan|1896	/1493/item_DGK7E6CHNPP7QRQVU2F2DGGQGS7F6XBI	yes	Die Entstehung des modernen Japan : Vortrag, gehalten in der
vambery h|die gelbe gefahr eine kurturstudie|1904	/2022078/11088_de_bo133_174987	yes	The Yellow Danger / Die gelbe Gefahr / Die gelbe Gefahr
wickevoort crommelin h s m van|een herlevend volk|1895	/1488/item_L6KCPO45V3HSAMULPVTOWJKJGGYMUJNW	yes	Een herlevend volk : Schets van de Japanners en hun land
selenka emil|sonnige welten|1896	/1493/item_62B5NYZOOODQFCBHPGLNBR5FIMFCICPT	yes	Sonnige Welten : ostasiatische Reise-Skizzen ; Borneo, Japan
|congres international des etudes d extreme orient compte rendu du premier tenu a hanoi en 1902|1902	/794/ark__12148_bpt6k5809327d	yes	Compte rendu analytique des séances / premier Congrès intern
eu comte d|journal d une promenade autour du monde etats unis japon chine ceylon inde egypte terre sainte|1900	/794/ark__12148_bpt6k58055325	yes	Journal d'une promenade autour du monde en 118 jours. Etats-
|journal d une promenade autour du monde en 118 jours en 1897 98|no date 1899	/794/ark__12148_bpt6k58055325	yes	Journal d'une promenade autour du monde en 118 jours. Etats-
schanz m|ein zug nach osten reisebilder aus indien birma ceylon straits settlements java siam china korea ostsibirien japan alaska und canada|1897	/368/item_TJZMDY6F3U4HGJTQD5A46UWW2SRNWO6W	yes	Ein Zug nach Osten : Reisebilder aus Indien, Birma, Ceylon, 
bellessort a|podroz de japonii spoleczenstwo japonskie|1903	/632/_nnR59Vb	yes	Podróż do Japonii : społeczeństwo japońskie. Cz. 2 / Społecz
buck v de|les saints martyrs japonais de la compagnie de jesus paul miki jean soan de gotto et jacques kisai|1863	/794/ark__12148_bpt6k6206951z	yes	Abrégé de la vie des trois Saints Paul Miki, Jean de Goto et
muller v|der krieg zwischen china und japan 1894 5 auf grund authentischer quellen bearbeitet|1895	/794/ark__12148_bpt6k9923286	yes	Der Krieg zwischen China und Japan 1894-95... bearbeitet von
brandt m v|die zukunft ostasiens ein beitrag zur geschichte und zum verstandniss der ostasiatischen frage|1895	/1493/item_37P6RCU3BV5WV2BUP7WUGHOVMEL4QURB	yes	Die Zukunft Ostasiens : ein Beitrag zur Geschichte und zum V
recouly r|dix mois de guerre en mandschourie impressions d un temoin|1905	/794/ark__12148_bpt6k371915k	yes	Ten months of war in Manchuria: impressions of a witness/Ray
okubo t|die entwickelungsgeschichte der territorialverfassung und der selbstverwaltung japan s in politischer und speciell wirthschaftlischer beziehung eine doctordissertation|1894	/1493/item_CF63Z3MFND24H3FFPU7HG67U3GWOL5BD	yes	Die Entwickelungsgeschichte der Territorialverfassung und de
|code penal promulgue par le decret no 36 le 7e mois de l annee de meiji|1881	/1493/item_D7DADX6JEQGRZKEEKZKYUFOUAOVYCXEW	yes	Code pénal promulgué par le décret No. 36 le 7e mois de la 1
grimm dr f|aerztliche beobachtungen auf yezo von 1887 92 ein beitrag zur medizinischen geographie ostasiens|1900	/1491/item_TWEBWEWR2FC5IEM2K2QIDF6DAGHMS73J	yes	Aerztliche Beobachtungen auf Yezo von 1887 - 1892 : ein Beit
toulouse|exposition des maitres japonais collection huc du 2 au 15 mai 1900|1900	/794/ark__12148_bpt6k11639374	yes	Exposition des maîtres japonais (Collection A. Huc)... du 2 
